episode_reward_mean,policy_loss,value_loss,entropy,iteration,backend,run_name
47.25,-0.036758821457624435,4.788985729217529,2.0551912784576416,1,rllib,rllib_20260314_170033
50.0,-0.0720769539475441,5.335382461547852,2.0347201824188232,2,rllib,rllib_20260314_170033
81.0,-0.10385985672473907,5.120004653930664,2.0011935234069824,3,rllib,rllib_20260314_170033
92.75,-0.16527555882930756,6.394433975219727,1.9722093343734741,4,rllib,rllib_20260314_170033
117.5,-0.09748762845993042,5.203312397003174,1.9438390731811523,5,rllib,rllib_20260314_170033
116.25,-0.19342702627182007,4.7201642990112305,1.9171416759490967,6,rllib,rllib_20260314_170033
103.75,-0.16383148729801178,5.800797462463379,1.9019778966903687,7,rllib,rllib_20260314_170033
125.25,-0.1405903697013855,4.729550838470459,1.8807923793792725,8,rllib,rllib_20260314_170033
108.5,-0.08832249790430069,6.439493179321289,1.8824509382247925,9,rllib,rllib_20260314_170033
150.75,-0.06074115261435509,5.364011287689209,1.837753176689148,10,rllib,rllib_20260314_170033
148.0,-0.14737756550312042,5.95591402053833,1.8351445198059082,11,rllib,rllib_20260314_170033
136.5,-0.1564439982175827,6.070929050445557,1.7776768207550049,12,rllib,rllib_20260314_170033
155.25,-0.16907899081707,5.391147613525391,1.7573524713516235,13,rllib,rllib_20260314_170033
161.5,-0.0974525511264801,6.295903205871582,1.7526711225509644,14,rllib,rllib_20260314_170033
154.0,-0.06775648891925812,5.518752098083496,1.6910130977630615,15,rllib,rllib_20260314_170033
158.25,-0.1406780481338501,6.488645553588867,1.742913007736206,16,rllib,rllib_20260314_170033
159.25,-0.003611854510381818,6.000369548797607,1.7023870944976807,17,rllib,rllib_20260314_170033
157.75,-0.11211331188678741,6.003146171569824,1.6655241250991821,18,rllib,rllib_20260314_170033
179.0,-0.18947818875312805,6.096107482910156,1.647528886795044,19,rllib,rllib_20260314_170033
